participant_id,fitting_status,target_of_interaction,sitting_distance,sitting_angle,social_behavior,nonsocial_behavior,social_behavior_percentage,moving_score_percentage,laughing_score_percentage,gazing_score_percentage,talking_score_percentage,touching_score_percentage,other_score_percentage
TE03IT03,Match,Human,mid,Parallel,30.0,7.0,81.08108108108108,5.405405405405405,2.7027027027027026,18.91891891891892,32.432432432432435,0.0,21.62162162162162
EL06ML07,,Robot,Close,Parallel,3.0,8.0,27.27272727272727,9.090909090909092,0.0,18.181818181818183,0.0,0.0,0.0
NN09ER02,Match,Robot,Far,Parallel,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME06EL10,Mismatch,Robot,Far,45 degrees,2.0,33.0,5.714285714285714,5.714285714285714,0.0,0.0,0.0,0.0,0.0
EN09US11,Mismatch,Robot,Close,Parallel,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EN09US15,Mismatch,Robot,Close,Parallel,5.0,13.0,27.77777777777778,11.11111111111111,0.0,16.666666666666664,0.0,0.0,0.0
NN04EL08,Mismatch,Robot,Close,Parallel,3.0,27.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
TZ05HT15,Mismatch,Robot,Mid,Parallel,9.0,9.0,50.0,5.555555555555555,0.0,16.666666666666664,11.11111111111111,0.0,11.11111111111111
CK07LM05,Mismatch,Robot,Far,45 degrees,4.0,16.0,20.0,15.0,0.0,5.0,0.0,0.0,0.0
TH03LF09,Match,Robot,Far,Perpendicular,12.0,3.0,80.0,13.333333333333334,6.666666666666667,6.666666666666667,33.33333333333333,0.0,13.333333333333334
TZ05IX23,,Human,Close,Parallel,33.0,7.0,82.5,5.0,5.0,35.0,30.0,0.0,5.0
